	+samples in group 0	+samples in group 1	counts in group 0	counts in group 1	oddsRatio	lower	upper	fisherP	fisherAdjP	logFC	se	pvalues	adjPvalues
6b8232d2924c9280c58bd6737440dc38	2	1	52	2	1.64402933195971	0.0782800612096576	104.715696814652	1	1	-0.230310717834457	0.265172316111636	0.385103005716561	0.559054200602688
b21ea849fa275b4cefd611e72bae61a0	3	0	13	0	Inf	0.338151190477249	Inf	0.238095238095238	0.728820598006644	-0.229961219819013	0.158387562356433	0.146532365746927	0.519633837387887
1d0628ebc6d01e2b0dacc65b70821c87	0	1	0	69	0	0	31.2002778896625	0.444444444444444	0.814690026954178	0.229687606308638	0.170077008026298	0.176858279180569	0.519633837387887
98afffa0e31ef36d806460e3636a0156	1	0	82	0	Inf	0.020528125	Inf	1	1	-0.22917921943641	0.253980384119935	0.36687093129307	0.55881045662105
b9ad793aff859525b4d66ff8316aaa90	1	0	40	0	Inf	0.020528125	Inf	1	1	-0.228219640545357	0.237286761871373	0.336155936844	0.539591770574287
5deb5ed978ff47e207b220d838224ec6	1	0	111	0	Inf	0.020528125	Inf	1	1	-0.228197685674989	0.259776079778373	0.379705014054061	0.55881045662105
13cb052c16be10b9ecc56923bdaa437b	5	0	14	0	Inf	0.808303823157474	Inf	0.0527119938884645	0.570957435456739	-0.227714648436894	0.122060904842004	0.0620998452850894	0.504397473093413
bc1f5b1e64e61c37e2ed52a83a39ff00	4	1	120	20	3.62844445846106	0.311188727618453	196.538768009095	0.354893472540531	0.814690026954178	-0.226713058774459	0.294060961485469	0.440722941356264	0.569424855519198
61fe8453dcf6d90607d9155957062687	1	2	4	27	0.378757870335378	0.00594482380456019	7.9561952105911	0.574229691876751	0.921743697478992	0.226520057917951	0.184749166698462	0.220162869420869	0.519633837387887
a76b19ab801c6c0339d2a484766a856f	0	1	0	30	0	0	31.2002778896625	0.444444444444444	0.814690026954178	0.225558186712289	0.198511304412821	0.255852546394001	0.519633837387887
3dfc8833d5b5e1bcc67021bade889def	1	0	103	0	Inf	0.020528125	Inf	1	1	-0.224577332524605	0.255759329682802	0.379899923174956	0.55881045662105
6747cce82fdf489e202db152c2c46cd8	4	0	18	0	Inf	0.558252575288515	Inf	0.113148289618878	0.637139834057103	-0.224162174595778	0.149379946784822	0.133454501061429	0.519633837387887
b2e1afec744e257e779ad655e0db44e7	3	0	30	0	Inf	0.338151190477249	Inf	0.238095238095238	0.728820598006644	-0.22358493023467	0.159307113168743	0.160472661215569	0.519633837387887
fde2d38516fafdd25b0149919146514b	3	1	40	6	2.58199007800764	0.184081570258213	147.939764700437	0.612936083524319	0.939478451166095	-0.22290964036307	0.238471383057757	0.349920362483439	0.551968160123603
01dacd1611c39be90b314281526259c3	4	0	31	0	Inf	0.558252575288515	Inf	0.113148289618878	0.637139834057103	-0.22194959908345	0.14270473808892	0.119873102801321	0.519633837387887
72ecb4c8b814f8b664cb7d699494a49e	1	2	2	25	0.378757870335378	0.00594482380456019	7.9561952105911	0.574229691876751	0.921743697478992	0.221250447781833	0.176219656671158	0.20928357904894	0.519633837387887
efc8869dc2575ccb11af605b2659e3e3	2	0	8	0	Inf	0.150667892355685	Inf	0.492063492063492	0.814690026954178	-0.220894600381847	0.169649238015406	0.192893632009722	0.519633837387887
62e8249b0fbe9fa0e3d6181d492280bc	3	0	33	0	Inf	0.338151190477249	Inf	0.238095238095238	0.728820598006644	-0.220840464219979	0.168838404138641	0.190873647572244	0.519633837387887
ba99a1e307f3a33355c5233769c00ce8	5	1	55	21	4.80620016779676	0.456854536899201	251.580268411302	0.196218076673485	0.728820598006644	-0.220782728495823	0.201482265861396	0.273169650750215	0.519633837387887
197a2da24de330514209e1648a8a8bde	0	1	0	32	0	0	31.2002778896625	0.444444444444444	0.814690026954178	0.22049695005352	0.188650716698917	0.242479964341449	0.519633837387887
7d81b03e9102d60530679514a7e05e21	3	0	62	0	Inf	0.338151190477249	Inf	0.238095238095238	0.728820598006644	-0.220085987278438	0.148709061474847	0.138879390889583	0.519633837387887
a7a92e714a9438200a2b567bd2f7c001	3	0	35	0	Inf	0.338151190477249	Inf	0.238095238095238	0.728820598006644	-0.219654296651119	0.156333331559615	0.160009930981888	0.519633837387887
4c73246af349194f97518033aa62e57a	1	1	3	55	0.794724073103939	0.00956924039650944	66.0227744062347	1	1	0.218886040727895	0.202239712222408	0.279114852785779	0.519633837387887
14ca0b1f1bf022bb4cb351bb81b3434e	1	0	77	0	Inf	0.020528125	Inf	1	1	-0.218752125293245	0.245803508098981	0.373494278346364	0.55881045662105
1f1621f36f663ad623806eb0f95b05db	2	1	106	3	1.64402933195971	0.0782800612096576	104.715696814652	1	1	-0.217592843820819	0.293845372623795	0.45899594822072	0.582854988421317
33252e89f3a795e32b31e9fe331a29d3	3	0	19	0	Inf	0.338151190477249	Inf	0.238095238095238	0.728820598006644	-0.217346434431589	0.145220758190617	0.134481149743755	0.519633837387887
f7cf6ffc3ac61cb0114c6ddc57cbb19d	3	0	19	0	Inf	0.338151190477249	Inf	0.238095238095238	0.728820598006644	-0.217309892792077	0.158199866076287	0.169553023277743	0.519633837387887
bf3682453f08c57cfa4ecf68cb6bb209	0	1	0	36	0	0	31.2002778896625	0.444444444444444	0.814690026954178	0.217086427593437	0.179391020722761	0.226229073725165	0.519633837387887
d70bb288063717a596a62cacd805f652	1	1	5	97	0.794724073103939	0.00956924039650944	66.0227744062347	1	1	0.216649238486329	0.187974762831002	0.249097483163293	0.519633837387887
6bf6f5eae4bdcc15a6a398edb4f7cb03	0	1	0	57	0	0	31.2002778896625	0.444444444444444	0.814690026954178	0.216510673445332	0.160909420469279	0.178449685922826	0.519633837387887
d312e024087511ef807cef98148f7f32	1	0	87	0	Inf	0.020528125	Inf	1	1	-0.21641683851273	0.246711628390609	0.380374938621984	0.55881045662105
7675d2a73220b2e9359661a0a72664a6	1	0	87	0	Inf	0.020528125	Inf	1	1	-0.21641683851273	0.246711628390609	0.380374938621984	0.55881045662105
c2779f1f7ce687c5e924c75365706798	4	1	132	45	3.62844445846106	0.311188727618453	196.538768009095	0.354893472540531	0.814690026954178	-0.216354564684656	0.274060482551959	0.429854336279067	0.565743713018329
276f80f358b5bf97fb7d5b56361f7a99	2	0	132	0	Inf	0.150667892355685	Inf	0.492063492063492	0.814690026954178	-0.214726955467542	0.189138764857063	0.25625470080476	0.519633837387887
b560c453a4d5d027bf77b22a3117e002	0	1	0	25	0	0	31.2002778896625	0.444444444444444	0.814690026954178	0.214359030816302	0.189090668805584	0.256949393070094	0.519633837387887
8d835071e4da37fd212344bd306f6cc5	3	0	73	0	Inf	0.338151190477249	Inf	0.238095238095238	0.728820598006644	-0.213662382890646	0.202382782709471	0.29108976312432	0.519633837387887
830a1d7aa07f94345199533a4559a23a	2	0	44	0	Inf	0.150667892355685	Inf	0.492063492063492	0.814690026954178	-0.213324128927032	0.190565331690039	0.262957678976753	0.519633837387887
dfee0febdf8935a9b436f772b0414ae8	3	0	33	0	Inf	0.338151190477249	Inf	0.238095238095238	0.728820598006644	-0.213237703066109	0.145452749633673	0.142640847309162	0.519633837387887
8a4b9a227b6992917ba1ba1d9a76aafc	5	0	20	0	Inf	0.808303823157474	Inf	0.0527119938884645	0.570957435456739	-0.213030237202934	0.109799405423621	0.052358231182041	0.474577832467505
fe2ac5db4f156b40b8cadf2d296eb597	3	0	27	0	Inf	0.338151190477249	Inf	0.238095238095238	0.728820598006644	-0.211231475872622	0.159603743290816	0.185677648581675	0.519633837387887
7025ef8bc0004af762eb2690fba0066e	1	0	65	0	Inf	0.020528125	Inf	1	1	-0.210457243218827	0.23675001990363	0.374033781719655	0.55881045662105
31425a47f0623987faec978efa7d6cc5	3	0	29	0	Inf	0.338151190477249	Inf	0.238095238095238	0.728820598006644	-0.210031363805685	0.141249878188626	0.137028283715599	0.519633837387887
1b58178883185cbd234b5ad998a73786	3	0	100	0	Inf	0.338151190477249	Inf	0.238095238095238	0.728820598006644	-0.209681657950338	0.17667000709391	0.235284872010757	0.519633837387887
add35db3af2927c8bbd661a8f9d2c413	0	1	0	23	0	0	31.2002778896625	0.444444444444444	0.814690026954178	0.209259696858901	0.184808696906009	0.25750648956386	0.519633837387887
5ecf5e3a5346bf0ee30e3c37f99853f9	1	1	1	49	0.794724073103939	0.00956924039650944	66.0227744062347	1	1	0.209047888639458	0.197381275554247	0.289551056919731	0.519633837387887
cc87d0966ac9b57a0f63e77cc54f49e1	0	1	0	33	0	0	31.2002778896625	0.444444444444444	0.814690026954178	0.209019844200622	0.171707924761194	0.223490565251519	0.519633837387887
ef37034887935171f33c3e990b6906a0	2	0	30	0	Inf	0.150667892355685	Inf	0.492063492063492	0.814690026954178	-0.207787080401554	0.19139575596192	0.277637851819722	0.519633837387887
177ee03fd6f57772c6962f6d66cc3c02	1	0	27	0	Inf	0.020528125	Inf	1	1	-0.207595374714712	0.216521352307289	0.337671838088607	0.540549875383627
1fb6a03247fac77654b49af43cf8dab1	4	1	39	2	3.62844445846106	0.311188727618453	196.538768009095	0.354893472540531	0.814690026954178	-0.207478885178356	0.187479874695105	0.268435402579882	0.519633837387887
6e757a3ced98241d86771a5dda65e1f9	1	0	72	0	Inf	0.020528125	Inf	1	1	-0.207288938020982	0.236602690225096	0.380972637568544	0.55881045662105
a3140ce65e2648b251092655110eb887	3	1	22	1	2.58199007800764	0.184081570258213	147.939764700437	0.612936083524319	0.939478451166095	-0.206914351918164	0.171424258335477	0.227420300113615	0.519633837387887
