"";"Consistancy";"variable";"Count";"Tool";"dataset"
"ArcticFireSoils.170";"2";"Count";4;"limma voom (TMM)";"ArcticFireSoils"
"ArcticFireSoils.171";"3";"Count";0;"limma voom (TMM)";"ArcticFireSoils"
"ArcticFireSoils.172";"4";"Count";0;"limma voom (TMM)";"ArcticFireSoils"
"ArcticFireSoils.173";"5";"Count";0;"limma voom (TMM)";"ArcticFireSoils"
"ArcticFireSoils.174";"6";"Count";1;"limma voom (TMM)";"ArcticFireSoils"
"ArcticFireSoils.175";"7";"Count";1;"limma voom (TMM)";"ArcticFireSoils"
"ArcticFireSoils.176";"8";"Count";2;"limma voom (TMM)";"ArcticFireSoils"
"ArcticFireSoils.177";"9";"Count";1;"limma voom (TMM)";"ArcticFireSoils"
"ArcticFireSoils.178";"10";"Count";1;"limma voom (TMM)";"ArcticFireSoils"
"ArcticFireSoils.179";"11";"Count";1;"limma voom (TMM)";"ArcticFireSoils"
"ArcticFireSoils.180";"12";"Count";0;"limma voom (TMM)";"ArcticFireSoils"
"ArcticFireSoils.181";"13";"Count";0;"limma voom (TMM)";"ArcticFireSoils"
"ArcticFireSoils.182";"14";"Count";0;"limma voom (TMM)";"ArcticFireSoils"
"ArcticFireSoils.183";"1";"Count";6;"limma voom (TMMwsp)";"ArcticFireSoils"
"ArcticFireSoils.184";"2";"Count";1;"limma voom (TMMwsp)";"ArcticFireSoils"
"ArcticFireSoils.185";"3";"Count";1;"limma voom (TMMwsp)";"ArcticFireSoils"
"ArcticFireSoils.186";"4";"Count";1;"limma voom (TMMwsp)";"ArcticFireSoils"
"ArcticFireSoils.187";"5";"Count";0;"limma voom (TMMwsp)";"ArcticFireSoils"
"ArcticFireSoils.188";"6";"Count";2;"limma voom (TMMwsp)";"ArcticFireSoils"
"ArcticFireSoils.189";"7";"Count";1;"limma voom (TMMwsp)";"ArcticFireSoils"
"ArcticFireSoils.190";"8";"Count";4;"limma voom (TMMwsp)";"ArcticFireSoils"
"ArcticFireSoils.191";"9";"Count";1;"limma voom (TMMwsp)";"ArcticFireSoils"
"ArcticFireSoils.192";"10";"Count";2;"limma voom (TMMwsp)";"ArcticFireSoils"
"ArcticFireSoils.193";"11";"Count";1;"limma voom (TMMwsp)";"ArcticFireSoils"
"ArcticFireSoils.194";"12";"Count";0;"limma voom (TMMwsp)";"ArcticFireSoils"
"ArcticFireSoils.195";"13";"Count";0;"limma voom (TMMwsp)";"ArcticFireSoils"
