genus,aldex2,ancom,corncob,deseq2,edger,lefse,limma_voom_TMM,limma_voom_TMMwsp,maaslin2,maaslin2rare,metagenomeSeq,ttestrare,wilcoxonclr,wilcoxonrare
k__Bacteria___p__Firmicutes___c__Clostridia___o__Clostridiales___f__Ruminococcaceae___g__Ruminococcus,0,0,0,0,0,1,0,0,0,0,0,0,1,0
k__Bacteria___p__Firmicutes___c__Clostridia___o__Clostridiales___f__Ruminococcaceae___g__Sporobacter,1,0,0,0,0,1,2,1,1,1,0,0,2,1
k__Bacteria___p__Firmicutes___c__Clostridia___o__Clostridiales___f__Ruminococcaceae___g__Subdoligranulum,1,0,1,1,1,0,0,0,1,0,0,0,2,0
k__Bacteria___p__Firmicutes___c__Erysipelotrichia___o__Erysipelotrichales___f__Erysipelotrichaceae___g__Catenibacterium,0,0,0,0,0,0,0,0,0,0,0,0,1,0
k__Bacteria___p__Firmicutes___c__Erysipelotrichia___o__Erysipelotrichales___f__Erysipelotrichaceae___g__Clostridium_XVIII,0,0,0,0,0,1,0,0,0,0,0,0,1,0
k__Bacteria___p__Firmicutes___c__Erysipelotrichia___o__Erysipelotrichales___f__Erysipelotrichaceae___g__Coprobacillus,0,0,0,0,1,0,0,0,0,0,0,0,1,0
k__Bacteria___p__Firmicutes___c__Erysipelotrichia___o__Erysipelotrichales___f__Erysipelotrichaceae___g__Holdemania,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria___p__Firmicutes___c__Erysipelotrichia___o__Erysipelotrichales___f__Erysipelotrichaceae___g__Solobacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria___p__Firmicutes___c__Erysipelotrichia___o__Erysipelotrichales___f__Erysipelotrichaceae___g__Turicibacter,0,0,0,0,2,2,0,0,0,0,0,0,0,0
k__Bacteria___p__Firmicutes___c__Negativicutes___o__Selenomonadales___f__Acidaminococcaceae___g__Acidaminococcus,0,0,1,2,2,1,2,2,0,0,0,0,1,0
k__Bacteria___p__Firmicutes___c__Negativicutes___o__Selenomonadales___f__Acidaminococcaceae___g__Phascolarctobacterium,0,0,0,0,1,0,0,0,0,0,0,0,0,0
k__Bacteria___p__Firmicutes___c__Negativicutes___o__Selenomonadales___f__Veillonellaceae___g__Allisonella,0,0,0,0,0,0,0,0,0,0,0,0,1,0
k__Bacteria___p__Firmicutes___c__Negativicutes___o__Selenomonadales___f__Veillonellaceae___g__Dialister,0,0,0,0,0,0,1,0,0,0,0,0,1,0
k__Bacteria___p__Firmicutes___c__Negativicutes___o__Selenomonadales___f__Veillonellaceae___g__Veillonella,0,0,1,0,1,0,1,1,0,0,0,0,1,0
k__Bacteria___p__Fusobacteria___c__Fusobacteriia___o__Fusobacteriales___f__Fusobacteriaceae___g__Fusobacterium,0,0,1,0,3,0,1,1,0,0,0,0,0,0
k__Bacteria___p__Lentisphaerae___c__Lentisphaeria___o__Victivallales___f__Victivallaceae___g__Victivallis,0,0,0,0,2,0,0,0,0,0,0,0,0,1
k__Bacteria___p__Proteobacteria___c__Alphaproteobacteria___o__Rhodospirillales___f__Rhodospirillaceae___g__Insolitispirillum,0,0,0,1,1,1,0,0,0,0,0,0,0,0
k__Bacteria___p__Proteobacteria___c__Betaproteobacteria___o__Burkholderiales___f__Sutterellaceae___g__Parasutterella,0,0,1,1,2,0,0,0,0,0,0,0,0,0
k__Bacteria___p__Proteobacteria___c__Betaproteobacteria___o__Burkholderiales___f__Sutterellaceae___g__Sutterella,0,0,0,0,1,0,0,0,0,0,0,0,0,0
k__Bacteria___p__Proteobacteria___c__Deltaproteobacteria___o__Desulfovibrionales___f__Desulfomicrobiaceae___g__Desulfomicrobium,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria___p__Proteobacteria___c__Deltaproteobacteria___o__Desulfovibrionales___f__Desulfovibrionaceae___g__Bilophila,0,0,1,1,1,1,0,0,1,1,0,0,0,0
k__Bacteria___p__Proteobacteria___c__Deltaproteobacteria___o__Desulfovibrionales___f__Desulfovibrionaceae___g__Desulfovibrio,0,0,0,0,1,1,0,0,0,0,0,0,0,0
k__Bacteria___p__Proteobacteria___c__Epsilonproteobacteria___o__Campylobacterales___f__Campylobacteraceae___g__Campylobacter,1,1,1,1,1,1,1,1,0,0,0,0,1,1
k__Bacteria___p__Proteobacteria___c__Gammaproteobacteria___o__Enterobacteriales___f__Enterobacteriaceae___g__Citrobacter,0,0,0,0,1,0,1,0,0,0,0,0,0,0
k__Bacteria___p__Proteobacteria___c__Gammaproteobacteria___o__Enterobacteriales___f__Enterobacteriaceae___g__Enterobacter,0,0,0,0,1,0,0,0,0,0,0,0,0,0
k__Bacteria___p__Proteobacteria___c__Gammaproteobacteria___o__Enterobacteriales___f__Enterobacteriaceae___g__Escherichia_Shigella,0,0,1,1,1,0,0,0,0,0,0,0,0,0
k__Bacteria___p__Proteobacteria___c__Gammaproteobacteria___o__Enterobacteriales___f__Enterobacteriaceae___g__Salmonella,0,0,0,0,1,0,0,0,0,0,0,0,0,0
k__Bacteria___p__Proteobacteria___c__Gammaproteobacteria___o__Pasteurellales___f__Pasteurellaceae___g__Haemophilus,0,0,0,0,1,0,0,0,0,0,0,0,0,0
