	taxa_id	W	detected_0.9	detected_0.8	detected_0.7	detected_0.6
93	51b64448cdadd9252de2539e261be10a	1	FALSE	FALSE	FALSE	FALSE
94	59a8d2c498588713cb40017bfdaec718	37	FALSE	FALSE	FALSE	FALSE
95	667dd4cff5aeb7f3c6a805510976f3cc	0	FALSE	FALSE	FALSE	FALSE
96	984b13c33e055d9196bf018e212a87a5	1	FALSE	FALSE	FALSE	FALSE
97	44d54d6783887711abb1f9d6cd417c65	0	FALSE	FALSE	FALSE	FALSE
98	fde2d38516fafdd25b0149919146514b	3	FALSE	FALSE	FALSE	FALSE
99	9ca5d74763b3c7223f892c58cf4b66a8	0	FALSE	FALSE	FALSE	FALSE
100	acb367c91a0e13eaa2b9a395b9089688	0	FALSE	FALSE	FALSE	FALSE
101	f6e611c0154226004f96bbb65cd28ba6	1	FALSE	FALSE	FALSE	FALSE
102	9fd3a46a94352e5d4ed04691b4b9101f	350	TRUE	TRUE	TRUE	TRUE
103	268d223bfd60f5dd5f13b48ef1a171d9	0	FALSE	FALSE	FALSE	FALSE
104	d9cf4df439a8a5814c4089e78066d745	332	FALSE	TRUE	TRUE	TRUE
105	87a3745255cbcda2e949945d9069f304	3	FALSE	FALSE	FALSE	FALSE
106	badbc22e618a7a08ea347da8375334e9	342	FALSE	TRUE	TRUE	TRUE
107	6754225ea52475cf3ba742533ee6849a	0	FALSE	FALSE	FALSE	FALSE
108	929b25cb9d3b105eb48047bdc61d8268	22	FALSE	FALSE	FALSE	FALSE
109	b33d1b53cd41d43c941b2c79541ea225	0	FALSE	FALSE	FALSE	FALSE
110	32ba955853f5d834f5acc051f1833a13	225	FALSE	FALSE	FALSE	FALSE
111	b3fc533b3745b18d0c2343e77861acb5	176	FALSE	FALSE	FALSE	FALSE
112	d04ba4f3b17850f36c1e5d36582cc0d0	3	FALSE	FALSE	FALSE	FALSE
113	320e08df14153fd1950f4f9c03bdca61	0	FALSE	FALSE	FALSE	FALSE
114	35ecd9211900c6a9447800b4f04c961b	213	FALSE	FALSE	FALSE	FALSE
115	70f60792f76eb153eab811f371484ec2	43	FALSE	FALSE	FALSE	FALSE
116	15bc23332c53205cf5bfa8893c56c642	42	FALSE	FALSE	FALSE	FALSE
117	18bdf93154cf69e1b5a141dbcbe965e6	22	FALSE	FALSE	FALSE	FALSE
118	8c5da13949c9b1c46451947ef7d940fc	2	FALSE	FALSE	FALSE	FALSE
119	ee354f6cb94a0c8def2acf0db62f176f	40	FALSE	FALSE	FALSE	FALSE
120	89587c83fb3fc8a359923a8fb82b2dc7	1	FALSE	FALSE	FALSE	FALSE
121	b2d66cd6540ff7540c25576d34e19f40	0	FALSE	FALSE	FALSE	FALSE
122	5158b640e4e5c2ab4436977d95fdf534	5	FALSE	FALSE	FALSE	FALSE
123	400ca47cf5531967da0016e4fd98b60e	352	TRUE	TRUE	TRUE	TRUE
124	ffa0b53ae59acaeb23a7281e03c5648e	34	FALSE	FALSE	FALSE	FALSE
125	2c3c0e15865d0199c97604231c206180	2	FALSE	FALSE	FALSE	FALSE
126	d605987187b831697202f2920b9b9cf2	5	FALSE	FALSE	FALSE	FALSE
127	4295c195c66392609933f6c529e45650	3	FALSE	FALSE	FALSE	FALSE
128	0085f0a9a848b99c1fa2fe97583cf32f	4	FALSE	FALSE	FALSE	FALSE
129	2a5ff05815d819828975de2c4964c960	1	FALSE	FALSE	FALSE	FALSE
130	a6eec35bd040a0fd85319d77ed77cb8d	4	FALSE	FALSE	FALSE	FALSE
131	c46f54f23c54e7132eb9aa1e024b782c	1	FALSE	FALSE	FALSE	FALSE
132	e70cc3e5b222f4a850dbb563c72ff45e	286	FALSE	FALSE	TRUE	TRUE
133	3454492d1551b8b6536cc0f4fac1bd3e	2	FALSE	FALSE	FALSE	FALSE
134	6f320135335fe3dde2b5eb44d532a53d	1	FALSE	FALSE	FALSE	FALSE
135	2fb67f5c783ee5b2d583a41dd2fb2bef	213	FALSE	FALSE	FALSE	FALSE
136	4e7b39f2a5600877a4407ca807218fe8	0	FALSE	FALSE	FALSE	FALSE
137	1fd9732617c6635aeca826b960787406	1	FALSE	FALSE	FALSE	FALSE
138	a3e406429627f5c4d2098ccab56555d3	0	FALSE	FALSE	FALSE	FALSE
139	9e9472aff8ab2952afb813d4e46adb1d	23	FALSE	FALSE	FALSE	FALSE
140	6ea565df6378638622d090258279f1ed	4	FALSE	FALSE	FALSE	FALSE
141	83137614212aa52a2b1edd7e5d62f4ef	2	FALSE	FALSE	FALSE	FALSE
142	d1396bde813cb13a78212a53c469174d	18	FALSE	FALSE	FALSE	FALSE
143	da5b07342c77779eab99d44006c4e64b	158	FALSE	FALSE	FALSE	FALSE
144	e479535db3aa8852d556c4aeaa64c1e4	20	FALSE	FALSE	FALSE	FALSE
145	7cc6d4200880b7441c19ab60d88cf312	0	FALSE	FALSE	FALSE	FALSE
146	302f11395f4c84f74ea33f22c0f57835	1	FALSE	FALSE	FALSE	FALSE
147	04e8249b67e4d32ea7954042c5f06777	1	FALSE	FALSE	FALSE	FALSE
148	bedef8c7a888dc1731b64eb305d30634	22	FALSE	FALSE	FALSE	FALSE
149	bb241054f6824c401671445b7f3c8ade	1	FALSE	FALSE	FALSE	FALSE
150	aa1763a0ce609292d4fffc9e8f29b73a	1	FALSE	FALSE	FALSE	FALSE
151	529f72dc6878ba728637691f90708890	89	FALSE	FALSE	FALSE	FALSE
152	5e76a817ad6d205172dbc02128091954	36	FALSE	FALSE	FALSE	FALSE
153	b369a653e77cf04148f4b2de001c86ce	3	FALSE	FALSE	FALSE	FALSE
154	b78329357a80e123d34b400dcfe2ebf5	55	FALSE	FALSE	FALSE	FALSE
155	f2ffd947a773648188637d7c214fceae	3	FALSE	FALSE	FALSE	FALSE
156	dd7fd92e0d420e5c89a786a33a246e1b	1	FALSE	FALSE	FALSE	FALSE
157	88e7f0e8734eaba5aae62560a2d25613	23	FALSE	FALSE	FALSE	FALSE
