	S5-MALL-013	S2-MALL-018	S1-MALL-018	S1-MALL-014	S7-MALL-016	S2-MALL-016	S5-MALL-010	S1-MALL-007	S2-MALL-011	S1-MALL-017	S3-MALL-008	S4-MALL-010	S1-MALL-005	S5-MALL-016	S3-MALL-012	S3-MALL-013	S6-MALL-016	S1-MALL-010	S2-MALL-013	S1-MALL-015	S3-MALL-010	S2-MALL-017	S6-MALL-013	S3-MALL-016	S4-MALL-016	S1-MALL-008	S6-MALL-010	S2-MALL-010	S1-MALL-016	S1-MALL-012	S1-MALL-004	S4-MALL-013	S1-MALL-006	S2-MALL-008	S3-MALL-014	S4-MALL-015
Groupings	Y	No	No	No	No	No	No	Y	Y	No	Y	No	No	No	Y	Y	No	No	Y	Y	No	No	Y	No	No	Y	No	No	No	Y	Y	Y	Y	Y	No	Y
7ec8e54bd3237a008c4db0bdcffb7b8f	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 1	 0	 0	 0	 0	 0	 0	 0	 0	 0	69	 1	 0	 0	 0	 0	 7	 0	 0	 0	 0	 0	 0
cd5d02a681034c35541c5eb5f6d8bc5e	 0	 0	 0	 0	 0	 1	 0	 0	 0	 0	 0	 0	 0	 1	 0	 0	 0	 0	 1	 0	 0	 0	 0	15	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0
42ae4cfcab6d4a2125684c0402bb52d5	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 1	 1	 0	 0	 0	 0	 0	 0	 0	 0	33	 0	 0	 0	 0	 0	 0	 0	 1	 0	 0	 0	 0
0fd2d12445afdd1184160a25a2bfb995	  0	  0	  0	  0	  0	  0	 43	  0	  0	  0	  0	128	  0	  0	  0	  0	  0	  0	  0	  0	  8	  0	  0	  0	  0	  0	 40	  0	  0	  0	  0	  0	  0	  0	  0	  0
a29971905462fa50ca51d0d479667bc4	 0	 0	 0	 0	 0	 0	41	 0	 0	20	 0	19	 0	 0	 0	 0	 0	 0	 0	 0	 0	15	 0	 0	 0	 0	 0	 5	 0	 0	 0	 0	 0	 0	 0	 0
b0347994850b9876d953d49820212bad	 0	 0	 0	 0	 0	 0	26	 0	 0	 0	 0	23	 0	 0	 0	 0	 0	 0	 0	 0	 7	 0	 0	 0	 0	 0	45	 0	 0	 0	 0	 0	 0	 0	 0	 0
a1bc996afbfa3f6311d198cad6c46107	 0	 0	 0	 0	 0	 0	25	 0	 0	31	 0	28	 0	 0	 0	 0	 0	 0	 0	32	 0	 8	 0	 0	 0	 0	 0	 5	 0	 0	 0	 0	 0	 0	 0	 0
87a38137790e7828f52e696971ca2288	 0	 0	 0	 0	 0	 0	23	 0	 0	 0	 0	19	 0	 0	 0	 0	 0	 2	 0	 0	 5	 0	 0	 0	 0	 0	 4	 0	 0	 0	 0	 0	 0	 0	 0	 0
97ed9c32c0b6f04cf476f12dc0f30afc	 0	 0	 0	 0	 0	 0	20	 0	 0	 0	 0	68	 0	 0	 0	 0	 0	 0	 0	 0	22	 0	 0	 0	 0	 0	79	 2	 0	 0	 0	 0	 0	 0	 0	 0
1a639596eafe06496cbdc0587612ef7a	 0	 0	 0	 0	 0	 0	18	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0
