	logFC	AveExpr	t	P.Value	adj.P.Val	B
298b081d9e663a4d804ed52c19c5aa22	-0.816592452693878	6.50867635928606	-1.97915155750237	0.0526403056483162	0.153546376309354	-4.65265147695214
302f11395f4c84f74ea33f22c0f57835	-1.20196923451362	6.79838292071201	-2.79303146816413	0.00709857466837242	0.0670185613226666	-2.85462407422248
cbfe43e42f42e80360fd2cbcd750d17b	-0.668867868730023	6.39782778915674	-1.6214163575917	0.110451754689683	0.223482171822391	-5.2801301000922
04e8249b67e4d32ea7954042c5f06777	0.0359216912464896	7.10176103536786	0.055245099893231	0.956136531923371	0.977487153510009	-6.41475633184687
bedef8c7a888dc1731b64eb305d30634	-1.1680000833947	6.70620647670744	-2.79321071374	0.00709512375032757	0.0670185613226666	-2.8653291579408
52189f7b3ef231b8c257af9d54c08e3e	-0.719544588154299	6.43394537315086	-1.77148254395216	0.0818301284694891	0.188143844344535	-5.03076319362351
41a8e5a76f1641f661bc2b60ddf19d5a	-1.17530663786839	6.70557383831206	-2.62708046898566	0.0110453213305636	0.082448993299577	-3.26101278880968
d6df03d3a0f1617fc1ff0d7c7a20de0e	-0.502389311318063	6.50043331673352	-1.2108910467725	0.230937712945809	0.340108268156555	-5.81751084721589
bb241054f6824c401671445b7f3c8ade	-0.907297581424989	6.74132710937214	-2.16145157076064	0.0348775424152373	0.130209005214156	-4.25730940324604
aa1763a0ce609292d4fffc9e8f29b73a	-1.47781801830382	7.31732064465091	-3.20651672496009	0.00220476598737341	0.0372805557847547	-1.70856032338333
1f1621f36f663ad623806eb0f95b05db	-0.594699909056528	6.66543885205151	-1.26526101409725	0.210929585054168	0.316395937426014	-5.71728106903505
2b36000661a7dada1151ac6e8439768e	-0.802679114370057	6.64503527958706	-1.85903544987675	0.0681908162283162	0.172564195194705	-4.8394675167389
529f72dc6878ba728637691f90708890	-1.667434758999	7.40551362337663	-3.31038128534258	0.00162042044423596	0.0345638212404042	-1.38636109617597
b6dd24e190d913f20453e0834b2643a4	-0.457547845533133	6.50302835484969	-1.10962925385553	0.271821813757298	0.377780072296609	-5.93061908721745
287f93bb305ff107faf19c94991a6eca	-0.140032159661687	6.57391996226123	-0.301259809189804	0.764313486740976	0.834012540454143	-6.46700778836167
5e76a817ad6d205172dbc02128091954	-1.19489918363793	6.68157347405843	-2.87159053611065	0.00572596123419642	0.062806637287592	-2.6756391061918
6311c6b216c07a907079094b9b272fa2	-0.876957223578931	6.57391996226123	-2.19889643416962	0.0319615701183477	0.126315453871801	-4.21392937983068
de0a4e6dadfc738ab36cf768068f1345	-1.06342272477901	6.47546661458834	-2.24654042555591	0.0285628559803388	0.121276965110068	-4.13661484440949
cb8782ec5dd0021988a8257d7b3863e1	-0.383447348939271	6.53620879925535	-0.914544917590881	0.364286085724964	0.482507230526274	-6.11234746956134
b369a653e77cf04148f4b2de001c86ce	-0.780538296029875	6.66992115727204	-1.93766968337012	0.0576271489822477	0.157339861697085	-4.69424388337776
b78329357a80e123d34b400dcfe2ebf5	-1.65057358482409	7.25469972173541	-3.52871581152362	0.000833720388613458	0.0255613948216879	-0.826197850077487
3c6330e7e387c98b47a658e9ca1ccb46	-0.536454840252891	6.4054322561686	-1.35018879787017	0.182296452454949	0.286932981218327	-5.66562114712873
f7cf6ffc3ac61cb0114c6ddc57cbb19d	-0.862130700531169	6.5139569949355	-2.155142116308	0.0353911965009395	0.130209005214156	-4.31513890463381
f2ffd947a773648188637d7c214fceae	-0.596801754454867	6.65070233214321	-1.26525809124648	0.210930624950676	0.316395937426014	-5.72068103362337
dd7fd92e0d420e5c89a786a33a246e1b	-0.809088454280451	7.04564241993302	-1.56541057272214	0.123026178034219	0.234600961316891	-5.23794911511838
88e7f0e8734eaba5aae62560a2d25613	-1.13998142480278	6.76505594523555	-2.73641324330255	0.00826934272579668	0.0704832708997054	-2.99524181571114
7ff385416c8109f5c0bd3abd7bee5d77	-0.576225116893824	6.46684605568245	-1.45709837042594	0.150580577917164	0.263390944429857	-5.50579923620718
99c4c527b611ea7b3e223674fd5cfe6f	-0.992426686142905	6.81517234014602	-2.39845722844197	0.019762236348569	0.101669005923668	-3.75578961065553
23c2d0f31c82f0a1c9423d65b2aac586	-0.844267383576518	6.83388162356413	-2.08740905179336	0.0413361081482977	0.133518165276557	-4.38497012069341
5baf147beb0c68dc9b28e8e709c82ba8	-1.23451501817194	6.50753128532144	-2.35943104874782	0.0217542995865611	0.104394584699886	-3.89502734123928
