,variable,Score,value,Method_clean,Total_Hits
49,limma_voom_TMM,4,4.8949256791389,limma voom (TMM),23412
50,limma_voom_TMMwsp,4,4.95645543203435,limma voom (TMMwsp),24917
51,maaslin2,4,2.31013285742614,MaAsLin2,20172
52,maaslin2rare,4,0.535101494794393,MaAsLin2 (rare),17193
53,metagenomeSeq,4,3.40197461212976,metagenomeSeq,17725
54,ttestrare,4,1.36304909560724,t-test (rare),15480
55,wilcoxonclr,4,4.79820999419906,Wilcoxon (CLR),24134
56,wilcoxonrare,4,1.74575010016599,Wilcoxon (rare),17471
57,aldex2,5,0.4068584713746,ALDEx2,10323
58,ancom,5,0.87812666311868,ANCOM-II,3758
59,corncob,5,4.12394885381868,corncob,17362
60,deseq2,5,3.2241438552285,DESeq2,17462
61,edger,5,4.6020796870174,edgeR,29139
62,lefse,5,3.86473429951691,LEfSe,23598
63,limma_voom_TMM,5,4.71980181103708,limma voom (TMM),23412
64,limma_voom_TMMwsp,5,4.23405706947064,limma voom (TMMwsp),24917
65,maaslin2,5,3.19254412056316,MaAsLin2,20172
66,maaslin2rare,5,1.39591694294189,MaAsLin2 (rare),17193
67,metagenomeSeq,5,3.77997179125529,metagenomeSeq,17725
68,ttestrare,5,1.98320413436693,t-test (rare),15480
69,wilcoxonclr,5,3.91149415761996,Wilcoxon (CLR),24134
70,wilcoxonrare,5,2.47839276515368,Wilcoxon (rare),17471
71,aldex2,6,0.726532984597501,ALDEx2,10323
72,ancom,6,1.0111761575306,ANCOM-II,3758
73,corncob,6,4.93030756825251,corncob,17362
74,deseq2,6,3.27568434314512,DESeq2,17462
75,edger,6,4.45107930951646,edgeR,29139
76,lefse,6,4.54699550809391,LEfSe,23598
77,limma_voom_TMM,6,3.87835298137707,limma voom (TMM),23412
78,limma_voom_TMMwsp,6,3.62001846129149,limma voom (TMMwsp),24917
79,maaslin2,6,4.94745191354353,MaAsLin2,20172
80,maaslin2rare,6,3.67591461641366,MaAsLin2 (rare),17193
81,metagenomeSeq,6,3.41889985895628,metagenomeSeq,17725
82,ttestrare,6,2.40956072351421,t-test (rare),15480
83,wilcoxonclr,6,3.32725615314494,Wilcoxon (CLR),24134
84,wilcoxonrare,6,4.08104859481426,Wilcoxon (rare),17471
85,aldex2,7,1.3755691175046,ALDEx2,10323
86,ancom,7,1.11761575306014,ANCOM-II,3758
87,corncob,7,4.02603386706601,corncob,17362
88,deseq2,7,3.73382201351506,DESeq2,17462
89,edger,7,4.42362469542538,edgeR,29139
90,lefse,7,4.58513433341809,LEfSe,23598
91,limma_voom_TMM,7,4.22860071758073,limma voom (TMM),23412
92,limma_voom_TMMwsp,7,3.72837821567604,limma voom (TMMwsp),24917
93,maaslin2,7,5.95875470949831,MaAsLin2,20172
94,maaslin2rare,7,4.96132146803932,MaAsLin2 (rare),17193
95,metagenomeSeq,7,4.25952045133991,metagenomeSeq,17725
96,ttestrare,7,3.78552971576227,t-test (rare),15480
97,wilcoxonclr,7,3.49299743101019,Wilcoxon (CLR),24134
98,wilcoxonrare,7,4.77934863488066,Wilcoxon (rare),17471
99,aldex2,8,2.2764700184055,ALDEx2,10323
100,ancom,8,1.22405534858968,ANCOM-II,3758
101,corncob,8,4.41769381407672,corncob,17362
102,deseq2,8,4.34085442675524,DESeq2,17462
103,edger,8,4.48539757713031,edgeR,29139
104,lefse,8,5.32248495635223,LEfSe,23598
105,limma_voom_TMM,8,4.5703058260721,limma voom (TMM),23412
106,limma_voom_TMMwsp,8,3.87687121242525,limma voom (TMMwsp),24917
107,maaslin2,8,7.09894903827087,MaAsLin2,20172
108,maaslin2rare,8,6.80509509684174,MaAsLin2 (rare),17193
109,metagenomeSeq,8,4.71650211565585,metagenomeSeq,17725
110,ttestrare,8,4.86434108527132,t-test (rare),15480
111,wilcoxonclr,8,3.6794563686086,Wilcoxon (CLR),24134
112,wilcoxonrare,8,6.02140690286761,Wilcoxon (rare),17471
113,aldex2,9,3.6617262423714,ALDEx2,10323
114,ancom,9,2.0223523150612,ANCOM-II,3758
115,corncob,9,7.03259993088354,corncob,17362
116,deseq2,9,6.32802657198488,DESeq2,17462
117,edger,9,5.44974089707952,edgeR,29139
118,lefse,9,6.87346385286889,LEfSe,23598
119,limma_voom_TMM,9,5.99692465402358,limma voom (TMM),23412
120,limma_voom_TMMwsp,9,4.71164265360999,limma voom (TMMwsp),24917
121,maaslin2,9,9.0224072972437,MaAsLin2,20172
122,maaslin2rare,9,9.30029663235038,MaAsLin2 (rare),17193
123,metagenomeSeq,9,6.91678420310296,metagenomeSeq,17725
124,ttestrare,9,7.76485788113695,t-test (rare),15480
125,wilcoxonclr,9,4.26369437308362,Wilcoxon (CLR),24134
126,wilcoxonrare,9,8.19071604372961,Wilcoxon (rare),17471
127,aldex2,10,3.7101617746779,ALDEx2,10323
128,ancom,10,2.63437998935604,ANCOM-II,3758
129,corncob,10,9.26160580578274,corncob,17362
130,deseq2,10,9.24292749971366,DESeq2,17462
131,edger,10,6.83963073544047,edgeR,29139
132,lefse,10,8.84396982795152,LEfSe,23598
133,limma_voom_TMM,10,7.11600888433282,limma voom (TMM),23412
134,limma_voom_TMMwsp,10,5.71096038848979,limma voom (TMMwsp),24917
135,maaslin2,10,10.5244893912354,MaAsLin2,20172
136,maaslin2rare,10,11.4756005351015,MaAsLin2 (rare),17193
137,metagenomeSeq,10,10.3751763046544,metagenomeSeq,17725
138,ttestrare,10,10.7235142118863,t-test (rare),15480
139,wilcoxonclr,10,4.06894837159194,Wilcoxon (CLR),24134
140,wilcoxonrare,10,10.9896399748154,Wilcoxon (rare),17471
141,aldex2,11,6.05444153831251,ALDEx2,10323
142,ancom,11,2.92708887706227,ANCOM-II,3758
143,corncob,11,6.96924317474945,corncob,17362
144,deseq2,11,8.08040316114993,DESeq2,17462
145,edger,11,5.67967329009232,edgeR,29139
146,lefse,11,7.20823798627002,LEfSe,23598
147,limma_voom_TMM,11,5.78763027507261,limma voom (TMM),23412
148,limma_voom_TMMwsp,11,6.25677248464903,limma voom (TMMwsp),24917
149,maaslin2,11,8.40769383303589,MaAsLin2,20172
150,maaslin2rare,11,9.49223521200489,MaAsLin2 (rare),17193
151,metagenomeSeq,11,8.7672778561354,metagenomeSeq,17725
152,ttestrare,11,8.66925064599483,t-test (rare),15480
153,wilcoxonclr,11,5.15041020966272,Wilcoxon (CLR),24134
154,wilcoxonrare,11,9.32402266613245,Wilcoxon (rare),17471
155,aldex2,12,17.2236752881914,ALDEx2,10323
156,ancom,12,4.8962213943587,ANCOM-II,3758
157,corncob,12,10.211957147794,corncob,17362
158,deseq2,12,12.6159660978124,DESeq2,17462
159,edger,12,7.9378152990837,edgeR,29139
160,lefse,12,9.90338164251208,LEfSe,23598
161,limma_voom_TMM,12,9.38834785580044,limma voom (TMM),23412
162,limma_voom_TMMwsp,12,8.86543323835133,limma voom (TMMwsp),24917
163,maaslin2,12,11.5804084870117,MaAsLin2,20172
164,maaslin2rare,12,13.4357005758157,MaAsLin2 (rare),17193
165,metagenomeSeq,12,12.524682651622,metagenomeSeq,17725
166,ttestrare,12,12.5968992248062,t-test (rare),15480
167,wilcoxonclr,12,7.95558133753211,Wilcoxon (CLR),24134
168,wilcoxonrare,12,13.2390819071604,Wilcoxon (rare),17471
169,aldex2,13,40.298362879008,ALDEx2,10323
170,ancom,13,15.3805215540181,ANCOM-II,3758
171,corncob,13,22.1633452367239,corncob,17362
172,deseq2,13,23.7429847669225,DESeq2,17462
173,edger,13,14.2729675006006,edgeR,29139
174,lefse,13,17.6286125942877,LEfSe,23598
175,limma_voom_TMM,13,17.7430377584145,limma voom (TMM),23412
176,limma_voom_TMMwsp,13,16.6914154994582,limma voom (TMMwsp),24917
177,maaslin2,13,20.6226452508428,MaAsLin2,20172
178,maaslin2rare,13,24.160995754086,MaAsLin2 (rare),17193
179,metagenomeSeq,13,22.8942172073343,metagenomeSeq,17725
180,ttestrare,13,26.0077519379845,t-test (rare),15480
181,wilcoxonclr,13,17.228805834093,Wilcoxon (CLR),24134
182,wilcoxonrare,13,23.8108866121001,Wilcoxon (rare),17471
183,aldex2,14,23.9174658529497,ALDEx2,10323
184,ancom,14,65.6998403406067,ANCOM-II,3758
185,corncob,14,14.2207118995507,corncob,17362
186,deseq2,14,14.1392738517925,DESeq2,17462
187,edger,14,8.47318027385978,edgeR,29139
188,lefse,14,10.4627510806001,LEfSe,23598
189,limma_voom_TMM,14,10.545873910815,limma voom (TMM),23412
190,limma_voom_TMMwsp,14,9.90889753983224,limma voom (TMMwsp),24917
191,maaslin2,14,12.239738251041,MaAsLin2,20172
192,maaslin2rare,14,14.3604955505147,MaAsLin2 (rare),17193
193,metagenomeSeq,14,13.9294781382228,metagenomeSeq,17725
194,ttestrare,14,15.9496124031008,t-test (rare),15480
195,wilcoxonclr,14,10.2303803762327,Wilcoxon (CLR),24134
196,wilcoxonrare,14,14.1319901551142,Wilcoxon (rare),17471
